room_id;host_id;room_type;reviews;good_rating;rating;overall_satisfaction;accommodates;bedrooms;price;last_modified;latitude;longitude
19341637;133083567;Entire home/apt;0;0;0;0;9;5;166;2017-06-29 15:03:45.228028;52.127154;21.102699
18383511;127325556;Entire home/apt;0;0;0;0;6;2;166;2017-06-29 15:03:43.429236;52.25437;21.006337
17542624;102223515;Entire home/apt;7;1;5;5;8;2;166;2017-06-29 15:03:41.997619;52.251192;21.01296
17338108;2086257;Entire home/apt;14;1;5;5;10;3;166;2017-06-29 15:03:42.019840;52.237827;21.025973
16069278;21512297;Entire home/apt;0;0;0;0;6;2;166;2017-06-29 15:03:45.217150;52.22291;20.969429
12560904;68089565;Entire home/apt;0;0;0;0;8;4;166;2017-06-29 15:03:45.246286;52.159871;20.888683
11660158;61888078;Entire home/apt;15;1;4,5;04,05,2017;8;3;166;2017-06-29 15:03:42.042585;52.247615;20.987716
6549845;28879354;Private room;0;0;0;0;2;1;166;2017-06-29 13:40:08.888796;52.248219;21.02788
984068;707460;Entire home/apt;1;0;0;0;6;1;166;2017-06-29 15:03:43.467539;52.234685;20.988021
972092;5313873;Entire home/apt;26;1;5;5;5;1;166;2017-06-29 15:03:43.443677;52.227863;21.037115
19055365;133014928;Private room;0;0;0;0;5;2;165;2017-06-29 13:40:08.891627;52.186964;20.956331
18783811;130726600;Entire home/apt;0;0;0;0;6;2;165;2017-06-29 15:03:43.435072;52.233219;20.987247
12893644;65324531;Entire home/apt;5;1;5;5;8;3;164;2017-06-29 15:03:42.008980;52.252205;21.010551
12778957;2384053;Entire home/apt;8;1;4;4;8;3;164;2017-06-29 15:03:46.175956;52.247784;21.009481
428455;2117739;Entire home/apt;10;1;5;5;10;3;164;2017-06-29 15:03:42.028115;52.215396;21.064639
12778416;2384053;Entire home/apt;4;1;4;4;6;2;162;2017-06-29 15:03:46.150535;52.224445;21.016469
18592560;129104690;Entire home/apt;2;0;0;0;4;2;158;2017-06-29 15:03:42.046216;52.246031;21.021022
17299124;27207084;Entire home/apt;0;0;0;0;9;3;158;2017-06-29 15:52:25.037286;52.231688;21.010997
14455997;2384053;Entire home/apt;11;1;4;4;8;3;158;2017-06-29 15:03:46.162018;52.202806;21.019644
9086084;2384053;Entire home/apt;1;0;0;0;4;1;158;2017-06-29 15:03:46.169671;52.250519;21.01199
431361;2144458;Entire home/apt;0;0;0;0;4;1;155;2017-06-29 15:03:43.454424;52.211239;20.969989
151883;728578;Entire home/apt;0;0;0;0;6;2;155;2017-06-29 15:36:05.435156;52.256381;20.931006
6952631;36451338;Entire home/apt;21;1;5;5;6;3;153;2017-06-29 15:03:42.022240;52.202069;21.037639
18410710;45434994;Entire home/apt;0;0;0;0;5;3;152;2017-06-29 15:03:43.474474;52.224683;21.065678
15291496;2384053;Entire home/apt;7;1;4,5;04,05,2017;7;3;152;2017-06-29 15:36:09.352928;52.232355;20.994662
19270855;134729344;Entire home/apt;0;0;0;0;4;2;151;2017-06-29 15:03:43.420597;52.219192;21.015219
19214801;134426919;Entire home/apt;0;0;0;0;7;3;151;2017-06-29 15:03:43.447989;52.195186;20.986766
16460304;107983431;Entire home/apt;1;0;0;0;5;2;151;2017-06-29 15:03:45.239224;52.238525;21.022514
15658343;101077048;Entire home/apt;14;1;5;5;8;3;151;2017-06-29 15:03:42.037023;52.232263;20.987911
15277983;95683599;Entire home/apt;0;0;0;0;5;2;151;2017-06-29 15:03:43.440234;52.234558;20.990409
11051054;57356167;Entire home/apt;0;0;0;0;6;2;151;2017-06-29 15:03:43.437184;52.241152;21.026642
10466708;53935048;Entire home/apt;0;0;0;0;7;1;151;2017-06-29 15:03:43.451264;52.24642;21.073151
6898147;36146349;Entire home/apt;0;0;0;0;6;2;151;2017-06-29 15:03:42.051918;52.157481;21.08056
5460030;28321776;Entire home/apt;8;1;5;5;2;1;151;2017-06-29 15:03:42.031131;52.233781;21.029654
4611379;2384053;Entire home/apt;34;1;4,5;04,05,2017;6;2;151;2017-06-29 15:03:42.025305;52.248562;21.011751
2516975;2952783;Entire home/apt;27;1;5;5;6;2;151;2017-06-29 15:03:41.994040;52.240709;21.02338
19235297;2384053;Entire home/apt;0;0;0;0;6;2;149;2017-06-29 15:03:46.164867;52.243087;20.960157
19175058;134101987;Entire home/apt;0;0;0;0;8;3;149;2017-06-29 15:03:42.034815;52.222266;21.011677
10845399;34722118;Entire home/apt;3;0;3,5;03,05,2017;6;2;149;2017-06-29 15:03:45.214609;52.229515;21.011243
4434496;2384053;Entire home/apt;6;1;4,5;04,05,2017;6;3;149;2017-06-29 15:03:45.233176;52.234766;21.030109
17880493;99334477;Entire home/apt;0;0;0;0;5;2;148;2017-06-29 15:03:45.230232;52.231908;20.97771
11977433;35275203;Entire home/apt;4;1;5;5;4;1;148;2017-06-29 15:03:43.425553;52.223499;21.02078
6012865;2384053;Entire home/apt;55;1;4,5;04,05,2017;8;3;148;2017-06-29 15:36:03.596780;52.238577;21.027484
2354363;3509074;Entire home/apt;2;0;0;0;4;2;148;2017-06-29 15:03:43.471178;52.288227;20.974769
9829996;2384053;Entire home/apt;6;0;3,5;03,05,2017;6;3;146;2017-06-29 15:03:46.173548;52.216089;21.023385
5247066;2384053;Entire home/apt;39;1;4,5;04,05,2017;6;2;146;2017-06-29 15:03:46.159106;52.229296;21.010465
1367835;2384053;Entire home/apt;13;1;4,5;04,05,2017;6;2;146;2017-06-29 15:03:46.153461;52.236856;21.008426
17742250;2384053;Entire home/apt;1;0;0;0;1;1;145;2017-06-29 15:03:46.167342;52.235746;21.016305
5055780;2384053;Entire home/apt;5;1;4,5;04,05,2017;6;2;145;2017-06-29 15:03:46.156201;52.234748;21.010296
3245307;2384053;Entire home/apt;5;1;4;4;6;2;143;2017-06-29 15:44:34.471519;52.23497;20.991142
18415197;127607856;Entire home/apt;0;0;0;0;4;1;140;2017-06-29 15:03:37.150399;52.224514;21.011492
17875626;121814335;Entire home/apt;0;0;0;0;5;1;140;2017-06-29 15:03:37.169825;52.258998;21.043076
15710857;101467827;Entire home/apt;0;0;0;0;4;2;140;2017-06-29 15:03:39.040807;52.245668;21.01965
13076961;29316652;Entire home/apt;27;1;5;5;6;2;140;2017-06-29 15:03:35.320553;52.249713;20.988269
6268815;5874520;Entire home/apt;0;0;0;0;6;3;140;2017-06-29 15:03:39.074690;52.214258;21.022652
1023223;2384053;Entire home/apt;83;1;4,5;04,05,2017;6;3;140;2017-06-29 15:03:35.301188;52.218015;20.984615
19379611;112392320;Private room;0;0;0;0;4;1;138;2017-06-29 13:40:08.132378;52.236382;21.008864
18874556;4324951;Entire home/apt;0;0;0;0;4;1;138;2017-06-29 15:03:35.340641;52.226499;21.011617
18863933;4324951;Entire home/apt;0;0;0;0;4;2;138;2017-06-29 15:03:39.068691;52.226006;21.012164
18401111;33006283;Entire home/apt;1;0;0;0;8;3;138;2017-06-29 15:03:39.065645;52.234464;20.997059
18172666;125359677;Entire home/apt;0;0;0;0;2;2;138;2017-06-29 15:03:37.131331;52.223428;20.985136
15667844;81909947;Private room;0;0;0;0;4;1;138;2017-06-29 13:40:08.138282;52.290884;21.062209
15667798;81909947;Private room;0;0;0;0;4;1;138;2017-06-29 13:40:08.135060;52.290712;21.062113
15667665;81909947;Private room;0;0;0;0;4;1;138;2017-06-29 13:40:08.147963;52.289585;21.06365
15595388;18308715;Entire home/apt;0;0;0;0;4;1;138;2017-06-29 15:03:37.156422;52.234722;21.004856
15559060;73521559;Entire home/apt;3;1;4,5;04,05,2017;8;2;138;2017-06-29 15:03:39.059255;52.223033;21.018996
13912700;82530237;Entire home/apt;19;1;5;5;8;4;138;2017-06-29 15:03:35.294482;52.253246;21.032877
13445838;76761048;Entire home/apt;1;0;0;0;2;1;138;2017-06-29 15:03:37.125758;52.235942;21.016906
12572828;68180254;Entire home/apt;0;0;0;0;7;3;138;2017-06-29 15:03:39.083664;52.184267;21.157609
12403842;23208762;Entire home/apt;9;1;5;5;10;4;138;2017-06-29 15:03:35.333047;52.201021;21.038218
10096694;33006283;Entire home/apt;53;1;4,5;04,05,2017;6;3;138;2017-06-29 15:03:35.297712;52.233809;20.995331
10086484;31445807;Entire home/apt;0;0;0;0;5;2;138;2017-06-29 15:35:57.213816;52.201424;20.966594
8769851;13144765;Entire home/apt;0;0;0;0;3;2;138;2017-06-29 15:03:39.062296;52.238936;20.986368
7057242;37012777;Entire home/apt;22;1;5;5;4;0;138;2017-06-29 15:03:37.139724;52.252596;21.039758
7030989;717987;Entire home/apt;0;0;0;0;5;3;138;2017-06-29 15:44:34.467207;52.214768;21.040149
6212520;32214038;Entire home/apt;5;1;5;5;6;3;138;2017-06-29 15:03:37.153174;52.176226;21.001309
500642;2470262;Entire home/apt;43;1;5;5;4;1;138;2017-06-29 15:03:35.314810;52.248107;21.011902
431532;2145517;Entire home/apt;0;0;0;0;4;1;138;2017-06-29 15:03:37.159257;52.230187;21.059497
16824570;111945171;Entire home/apt;0;0;0;0;6;2;135;2017-06-29 15:03:37.128360;52.227835;21.076458
10351546;5488213;Entire home/apt;3;0;3;3;4;1;135;2017-06-29 15:03:39.077883;52.231055;20.992875
304121;853007;Entire home/apt;11;1;5;5;6;2;135;2017-06-29 15:03:39.054999;52.232432;21.018929
984086;707460;Entire home/apt;4;1;5;5;5;2;134;2017-06-29 15:03:37.134487;52.235176;20.989261
15736930;101687148;Entire home/apt;0;0;0;0;4;2;133;2017-06-29 15:03:37.145644;52.227338;21.03842
14314441;2384053;Entire home/apt;18;1;4,5;04,05,2017;8;0;133;2017-06-29 15:03:35.354557;52.23199;20.991698
13872276;16054261;Entire home/apt;9;1;5;5;4;1;133;2017-06-29 15:03:35.307290;52.238615;21.017112
13810294;6344100;Entire home/apt;2;0;0;0;4;1;133;2017-06-29 15:03:35.351517;52.248502;21.012181
11703317;27849095;Entire home/apt;19;1;5;5;7;3;133;2017-06-29 15:03:35.346546;52.21325;21.024092
1607151;6803472;Entire home/apt;21;1;4,5;04,05,2017;3;3;133;2017-06-29 15:35:57.221346;52.244619;21.016336
2451520;2384053;Entire home/apt;36;1;4,5;04,05,2017;6;2;132;2017-06-29 15:03:39.080866;52.226224;21.024985
13594460;49734946;Entire home/apt;30;1;4,5;04,05,2017;14;3;130;2017-06-29 15:03:35.304664;52.249999;21.009753
15928197;103355032;Entire home/apt;0;0;0;0;1;1;129;2017-06-29 15:03:37.162774;52.237429;20.985911
13484818;11383877;Entire home/apt;0;0;0;0;8;3;129;2017-06-29 15:03:37.166850;52.20757;21.014667
304297;853007;Entire home/apt;3;1;4,5;04,05,2017;6;2;129;2017-06-29 15:03:39.086157;52.232396;21.02014
10750041;27207084;Entire home/apt;0;0;0;0;10;3;128;2017-06-29 15:44:34.474149;52.233388;20.98706
9744458;9306087;Entire home/apt;0;0;0;0;11;3;128;2017-06-29 15:44:34.460382;52.239245;20.999225
11705633;2086257;Entire home/apt;78;1;5;5;12;4;127;2017-06-29 15:03:35.317502;52.245421;21.010893
18831973;35070711;Entire home/apt;0;0;0;0;5;2;125;2017-06-29 15:03:35.312352;52.235448;21.020968
18496898;2384053;Entire home/apt;0;0;0;0;4;2;125;2017-06-29 15:03:40.007732;52.16331;21.073354
18194306;15700774;Private room;2;0;0;0;4;0;125;2017-06-29 13:40:08.125917;52.235036;21.059381
15427876;16646807;Entire home/apt;3;1;5;5;5;2;125;2017-06-29 15:35:55.584058;52.233106;21.062054
15138957;95816294;Entire home/apt;2;0;0;0;6;1;125;2017-06-29 15:03:37.122811;52.236841;21.113577
14797486;92427109;Entire home/apt;23;1;5;5;6;3;125;2017-06-29 15:03:35.329216;52.232302;21.000759
14462242;10214608;Entire home/apt;15;1;4,5;04,05,2017;6;2;125;2017-06-29 15:03:35.337051;52.231945;21.013908
10652527;52327714;Entire home/apt;0;0;0;0;4;2;125;2017-06-29 15:03:39.050950;52.232149;20.992067
6858310;5764852;Entire home/apt;5;1;4,5;04,05,2017;2;1;125;2017-06-29 15:03:39.071291;52.225147;21.013445
6611962;22139059;Entire home/apt;1;0;0;0;4;1;125;2017-06-29 15:03:37.142562;52.170832;21.115198
3316539;5488213;Entire home/apt;10;1;4;4;4;1;125;2017-06-29 15:03:39.998620;52.228455;20.994223
2280491;11646805;Entire home/apt;13;1;4,5;04,05,2017;6;2;125;2017-06-29 15:03:37.119181;52.221104;20.979796
1474478;7892246;Entire home/apt;57;1;4,5;04,05,2017;8;3;125;2017-06-29 15:03:35.359378;52.19869;20.980232
16392355;107380758;Entire home/apt;1;0;0;0;3;1;124;2017-06-29 15:03:31.365990;52.200498;20.966018
9948748;21083440;Entire home/apt;0;0;0;0;4;1;124;2017-06-29 15:03:29.642655;52.23759;21.001373
8099863;21512297;Entire home/apt;0;0;0;0;2;1;124;2017-06-29 15:03:34.130101;52.232802;20.988602
4350096;21512297;Entire home/apt;4;1;5;5;4;1;124;2017-06-29 15:03:31.377017;52.234957;20.985902
494543;2443563;Entire home/apt;121;1;5;5;10;2;124;2017-06-29 15:03:28.281926;52.23605;21.044094
18893256;131560060;Entire home/apt;0;0;0;0;7;3;123;2017-06-29 15:03:32.903647;52.221375;21.020794
17725720;111040331;Entire home/apt;0;0;0;0;4;1;123;2017-06-29 15:03:32.897639;52.230988;21.012537
15291196;2384053;Entire home/apt;1;0;0;0;6;3;123;2017-06-29 15:03:34.122591;52.269409;20.9395
5575184;2384053;Entire home/apt;16;1;4;4;6;2;123;2017-06-29 15:03:29.621972;52.235302;20.98607
9232865;26049882;Entire home/apt;43;1;5;5;2;1;121;2017-06-29 15:03:28.267678;52.24934;21.009517
12777339;26399069;Entire home/apt;2;0;0;0;4;2;119;2017-06-29 15:35:52.440081;52.197586;20.964473
7468153;2384053;Entire home/apt;2;0;0;0;4;1;119;2017-06-29 15:35:54.619970;52.164704;21.073996
3382388;17063730;Entire home/apt;2;0;0;0;5;1;119;2017-06-29 15:03:28.287332;52.205869;21.030292
18812986;130952214;Entire home/apt;0;0;0;0;6;2;118;2017-06-29 15:03:32.923211;52.226183;21.022954
19055124;133005215;Entire home/apt;0;0;0;0;8;4;117;2017-06-29 15:03:32.900522;52.226283;21.021882
18655262;129635830;Private room;0;0;0;0;7;3;117;2017-06-29 13:40:06.721461;52.242667;20.988944
18547972;128756828;Private room;0;0;0;0;5;2;117;2017-06-29 13:40:06.712171;52.220823;21.01305
18372555;71841732;Entire home/apt;0;0;0;0;4;1;117;2017-06-29 15:03:29.630678;52.252771;20.996978
18326388;126788515;Entire home/apt;0;0;0;0;6;3;117;2017-06-29 15:03:31.384613;52.23855;20.991052
14135559;8162706;Entire home/apt;7;1;5;5;8;2;117;2017-06-29 15:03:29.655451;52.190076;21.219092
7925544;2510628;Entire home/apt;16;1;5;5;10;3;117;2017-06-29 15:03:29.648729;52.251092;20.997792
3246845;2384053;Entire home/apt;0;0;0;0;2;0;117;2017-06-29 15:03:34.140936;52.235185;20.987865
703752;853007;Entire home/apt;14;1;4,5;04,05,2017;6;3;117;2017-06-29 15:03:34.116401;52.233514;21.020293
18309327;69145955;Shared room;0;0;0;0;1;1;116;2017-06-29 15:54:42.321453;52.226142;21.063214
14394891;78317279;Entire home/apt;13;1;5;5;8;3;116;2017-06-29 15:03:28.254811;52.253613;21.038859
13823743;81461458;Entire home/apt;55;1;4,5;04,05,2017;10;3;116;2017-06-29 15:03:28.306625;52.238968;21.022579
5857182;30304688;Entire home/apt;5;1;5;5;4;2;116;2017-06-29 15:03:28.295815;52.250664;21.005435
5118513;26399069;Entire home/apt;0;0;0;0;5;2;116;2017-06-29 15:03:32.907162;52.196035;20.962741
12299510;9306087;Entire home/apt;27;1;4,5;04,05,2017;12;3;115;2017-06-29 15:35:46.759050;52.221889;20.982935
9666715;49552116;Entire home/apt;88;1;4,5;04,05,2017;6;2;115;2017-06-29 15:03:28.284587;52.244974;21.015634
6197197;32136706;Entire home/apt;34;1;5;5;3;2;115;2017-06-29 15:03:28.304185;52.206989;21.015176
5316375;10504139;Entire home/apt;1;0;0;0;3;2;115;2017-06-29 15:03:32.884614;52.308898;20.995034
877678;853007;Entire home/apt;1;0;0;0;4;1;115;2017-06-29 15:44:28.174535;52.232658;21.018351
770308;853007;Entire home/apt;1;0;0;0;7;2;115;2017-06-29 15:03:34.138481;52.232774;21.020105
458141;2277900;Entire home/apt;8;1;5;5;8;3;115;2017-06-29 15:03:31.395138;52.230738;20.992578
442512;2190188;Entire home/apt;22;1;4,5;04,05,2017;9;4;115;2017-06-29 15:35:48.465867;52.240411;20.971879
304107;853007;Entire home/apt;12;1;4,5;04,05,2017;6;2;115;2017-06-29 15:03:31.397817;52.233583;21.018918
250108;853007;Entire home/apt;5;1;4,5;04,05,2017;6;2;115;2017-06-29 15:03:32.927849;52.234328;21.018586
18924339;131820600;Entire home/apt;0;0;0;0;5;2;114;2017-06-29 15:35:50.530742;52.221598;21.019068
2372681;12120813;Entire home/apt;72;1;5;5;9;2;114;2017-06-29 15:03:28.275869;52.236431;21.021825
